latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,frp,daynight,precipitation,solar_radiation,max_temp,min_temp,vapor_pressure
34.3277,-82.29,307.4,2021-04-05,1551,51,296.6,12.5,D,,,,,
31.6975,-92.6067,312.3,2013-04-22,1914,53,295.5,9.9,D,,,,,
66.4368,-155.2368,336.4,2012-06-19,2348,89,296.7,117.1,D,,,,,
41.7118,-85.8248,307.4,2020-04-08,1652,52,293.6,4.6,D,,,,,
32.4303,-82.6799,300.6,2017-03-16,1913,39,289.4,9.9,D,,,,,
30.625,-88.9178,308.2,2020-11-20,1643,63,293.9,6.8,D,,,,,
32.3969,-89.5551,301.4,2013-11-14,1926,47,289.6,7.1,D,,,,,
27.7645,-80.6475,318.6,2014-04-23,1613,55,304.5,8.0,D,,,,,
44.5729,-98.5586,317.2,2014-05-21,1954,42,302.0,7.8,D,,,,,
19.4117,-155.3007,342.8,2017-07-07,2142,91,309.0,289.6,D,,,,,
31.0234,-90.5854,311.1,2019-03-23,1643,70,289.0,9.7,D,,,,,
29.759,-92.2448,312.2,2012-09-09,1655,61,301.1,5.9,D,,,,,
30.6511,-85.1855,332.7,2017-03-20,1849,85,300.0,28.0,D,,,,,
44.8246,-115.9204,323.9,2015-08-17,634,100,282.6,182.1,N,,,,,
35.3212,-79.5259,306.9,2011-12-14,1818,64,286.8,10.4,D,0.0,256.0,16.62,1.65,687.88
30.5072,-84.72399999999998,318.5,2015-12-07,1830,79,293.3,34.1,D,,,,,
34.1738,-117.9833,330.7,2020-09-16,535,100,297.5,67.0,N,,,,,
66.7672,-153.1429,323.9,2011-07-09,2311,77,295.8,29.3,D,0.0,302.8,24.84,8.74,850.78
36.81692,-79.44218000000002,325.12,2021-08-10,1824,78,299.47,15.47,D,,,,,
66.8251,-142.0829,337.0,2018-07-25,2048,88,302.3,40.0,D,,,,,
29.5793,-98.027,304.1,2017-06-11,820,58,293.5,5.6,N,,,,,
40.7818,-122.1521,304.3,2020-03-05,1844,38,290.4,9.0,D,,,,,
30.6701,-93.2135,315.6,2011-10-29,1943,76,297.7,18.1,D,0.0,359.7,19.6,3.79,800.78
65.9542,-154.8532,318.4,2015-08-01,641,97,274.6,39.6,N,,,,,
64.3432,-154.6549,346.7,2015-06-25,2318,89,307.1,68.4,D,,,,,
37.8154,-93.5691,301.1,2012-01-05,1921,44,288.6,4.3,D,0.0,264.2,17.45,-0.55,586.56
41.5322,-123.2286,327.0,2014-09-06,2157,76,299.6,74.7,D,,,,,
48.9387,-115.3704,304.3,2017-09-06,552,27,286.4,9.3,N,,,,,
31.6777,-89.9569,328.3,2019-08-17,1713,81,300.6,44.5,D,,,,,
31.3942,-85.7375,316.5,2017-03-29,1843,57,298.7,12.9,D,,,,,
40.84432,-123.25129,372.47,2021-08-29,2214,100,304.69,1090.17,D,,,,,
66.7572,-153.6315,339.5,2013-06-25,2241,62,293.8,30.0,D,,,,,
36.083,-118.5536,320.8,2020-09-22,2155,61,294.8,119.9,D,,,,,
31.7866,-89.3061,306.6,2014-10-31,1843,64,292.6,18.6,D,,,,,
33.9685,-81.7824,308.2,2017-03-03,1629,67,288.7,10.2,D,,,,,
